scenario_id,lane,formula,expected_text,notes
W67-RND-001,rounding,"CEILING.MATH(-4.3,2)",-4,"CEILING.MATH negative-number baseline with default mode."
W67-RND-002,rounding,"CEILING.MATH(-4.3,2,1)",-6,"CEILING.MATH mode=1 rounds away from zero on negatives."
W67-RND-003,rounding,"CEILING.PRECISE(-4.3,2)",-4,"CEILING.PRECISE aligns with CEILING.MATH mode 0 on the admitted slice."
W67-RND-004,rounding,"FLOOR(4.3,2)",4,"Legacy FLOOR positive baseline."
W67-RND-005,rounding,"FLOOR(-4.3,2)",-6,"Legacy FLOOR negative/sign-sensitive baseline."
W67-RND-006,rounding,"FLOOR.MATH(-4.3,2)",-6,"FLOOR.MATH negative-number baseline with default mode."
W67-RND-007,rounding,"FLOOR.MATH(-4.3,2,1)",-4,"FLOOR.MATH mode=1 rounds toward zero on negatives."
W67-RND-008,rounding,"FLOOR.PRECISE(-4.3,2)",-6,"FLOOR.PRECISE aligns with FLOOR.MATH mode 0 on the admitted slice."
W67-RND-009,rounding,"ISO.CEILING(-4.3,2)",-4,"ISO.CEILING aligns with CEILING.MATH mode 0 on the admitted slice."
W67-RND-010,rounding,"FLOOR(5,0)",#DIV/0!,"Legacy FLOOR rejects zero significance with #DIV/0!."
W67-MAT-001,matrix,"MDETERM({1,2;3,4})",-2,"MDETERM seeded 2x2 determinant baseline."
W67-MAT-002,matrix,"TEXTJOIN(""|"",,MINVERSE({1,2;3,4}))",-2|1|1.5|-0.5,"MINVERSE spilled result is materialized row-major for stable replay comparison."
W67-MAT-003,matrix,"TEXTJOIN(""|"",,MMULT({1,2;3,4},{5;6}))",17|39,"MMULT seeded matrix-vector product materialized row-major."
W67-MAT-004,matrix,"TEXTJOIN(""|"",,MUNIT(3))",1|0|0|0|1|0|0|0|1,"MUNIT 3x3 identity baseline."
W67-MAT-005,matrix,"MDETERM(5)",5,"Scalar numeric input is treated as a 1x1 matrix for MDETERM."
W67-MAT-006,matrix,"MINVERSE(5)",0.2,"Scalar numeric input is treated as a 1x1 matrix for MINVERSE."
W67-MAT-007,matrix,"MMULT(5,2)",10,"Scalar numeric inputs are treated as 1x1 matrices for MMULT."
W67-MAT-008,matrix,"TEXTJOIN(""|"",,MUNIT(2.9))",1|0|0|1,"MUNIT truncates fractional size toward zero."
W67-ERR-001,matrix,"MDETERM({1,2,3;4,5,6})",#VALUE!,"MDETERM rejects non-square matrices."
W67-ERR-002,matrix,"MINVERSE({1,2;2,4})",#NUM!,"MINVERSE rejects singular matrices."
W67-ERR-003,matrix,"MMULT({1,2;3,4},{5;6;7})",#VALUE!,"MMULT rejects shape mismatch."
W67-SP-001,sumproduct,"SUMPRODUCT({1,2},{3,4})",11,"SUMPRODUCT seeded baseline."
W67-SP-002,sumproduct,"SUMPRODUCT({1,TRUE},{3,4})",3,"SUMPRODUCT treats logical cells as zero after dereference."
W67-SP-003,sumproduct,"SUMPRODUCT({1,""x""},{3,4})",3,"SUMPRODUCT treats text cells as zero after dereference."
W67-SP-004,sumproduct,"SUMPRODUCT(5,6)",30,"SUMPRODUCT scalar baseline."
W67-SP-005,sumproduct,"SUMX2MY2({1,2},{3,4})",-20,"SUMX2MY2 seeded baseline."
W67-SP-006,sumproduct,"SUMX2PY2({1,2},{3,4})",30,"SUMX2PY2 seeded baseline."
W67-SP-007,sumproduct,"SUMXMY2({1,2},{3,4})",8,"SUMXMY2 seeded baseline."
W67-SP-008,sumproduct,"SUMX2MY2({1,TRUE},{3,4})",-8,"SUMX2MY2 skips non-numeric pair positions."
W67-SP-009,sumproduct,"SERIESSUM(2,1,2,{1,2,3})",114,"SERIESSUM seeded baseline."
W67-SP-010,sumproduct,"SERIESSUM(""2"",1,2,{1,2})",18,"SERIESSUM admits numeric text only for scalar x."
W67-ERR-004,sumproduct,"SUMPRODUCT({1,2},{3})",#VALUE!,"SUMPRODUCT rejects mixed scalar/array shape mismatch."
W67-ERR-005,sumproduct,"SUMX2MY2({1,2},{3})",#N/A,"SUMX2MY2 shape mismatch publishes #N/A."
W67-ERR-006,sumproduct,"SUMX2MY2(TRUE,6)",#DIV/0!,"SUMX2MY2 publishes #DIV/0! when no numeric pair survives."
W67-ERR-007,sumproduct,"SERIESSUM(TRUE,1,2,{1,2})",#VALUE!,"SERIESSUM rejects logical scalar x."
