"entry_name","outcome","owner_workset","notes"
"DAVERAGE","done","W065","Promoted out of the normalized ordinary backlog after W065 closure."
"DCOUNT","done","W065","Promoted out of the normalized ordinary backlog after W065 closure."
"DCOUNTA","done","W065","Promoted out of the normalized ordinary backlog after W065 closure."
"DGET","done","W065","Promoted out of the normalized ordinary backlog after W065 closure."
"DMAX","done","W065","Promoted out of the normalized ordinary backlog after W065 closure."
"DMIN","done","W065","Promoted out of the normalized ordinary backlog after W065 closure."
"DPRODUCT","done","W065","Promoted out of the normalized ordinary backlog after W065 closure."
"DSTDEV","done","W065","Promoted out of the normalized ordinary backlog after W065 closure."
"DSTDEVP","done","W065","Promoted out of the normalized ordinary backlog after W065 closure."
"DSUM","done","W065","Promoted out of the normalized ordinary backlog after W065 closure."
"DVAR","done","W065","Promoted out of the normalized ordinary backlog after W065 closure."
"DVARP","done","W065","Promoted out of the normalized ordinary backlog after W065 closure."
