"entry_name","outcome","owner_workset","notes"
"CEILING.MATH","done","W067","Promoted out of the normalized ordinary backlog after W067 closure."
"CEILING.PRECISE","done","W067","Promoted out of the normalized ordinary backlog after W067 closure."
"FLOOR","done","W067","Promoted out of the normalized ordinary backlog after W067 closure."
"FLOOR.MATH","done","W067","Promoted out of the normalized ordinary backlog after W067 closure."
"FLOOR.PRECISE","done","W067","Promoted out of the normalized ordinary backlog after W067 closure."
"ISO.CEILING","done","W067","Promoted out of the normalized ordinary backlog after W067 closure."
"MDETERM","done","W067","Promoted out of the normalized ordinary backlog after W067 closure."
"MINVERSE","done","W067","Promoted out of the normalized ordinary backlog after W067 closure."
"MMULT","done","W067","Promoted out of the normalized ordinary backlog after W067 closure."
"MUNIT","done","W067","Promoted out of the normalized ordinary backlog after W067 closure."
"SERIESSUM","done","W067","Promoted out of the normalized ordinary backlog after W067 closure."
"SUMPRODUCT","done","W067","Promoted out of the normalized ordinary backlog after W067 closure."
"SUMX2MY2","done","W067","Promoted out of the normalized ordinary backlog after W067 closure."
"SUMX2PY2","done","W067","Promoted out of the normalized ordinary backlog after W067 closure."
"SUMXMY2","done","W067","Promoted out of the normalized ordinary backlog after W067 closure."
