scenario_id,lane,formula,expected_text,notes
W68-IFS-001,ifs,"IFS(FALSE,1,TRUE,2)",2,"IFS returns the first true branch."
W68-IFS-002,ifs,"IFS(""2"",""hit"")",#VALUE!,"Direct text conditions are rejected."
W68-IFS-003,ifs,"IFS(FALSE,1,0,2)",#N/A,"IFS returns #N/A when every test is false."
W68-IFS-004,ifs,"IFS(TRUE,1,TRUE,1/0)",1,"Later branches are not forced after an earlier true test."
W68-IFS-005,ifs,"IFS(1/0,1,TRUE,2)",#DIV/0!,"Condition errors propagate before later pairs are considered."
W68-VLOOKUP-001,vlookup,"VLOOKUP(2,{1,10;2,20;3,30},2,FALSE)",20,"Exact numeric VLOOKUP baseline."
W68-VLOOKUP-002,vlookup,"VLOOKUP(2.9,{1,10;2,20;3,30},2)",20,"Approximate VLOOKUP defaults when range_lookup is omitted."
W68-VLOOKUP-003,vlookup,"VLOOKUP(""b*"",{""abc"",10;""bcd"",20},2,FALSE)",20,"Exact VLOOKUP supports the current-baseline wildcard lane."
W68-VLOOKUP-004,vlookup,"VLOOKUP(TRUE,{TRUE,1;FALSE,2},2,FALSE)",1,"Exact VLOOKUP matches logical lookup values."
W68-VLOOKUP-005,vlookup,"VLOOKUP(2,{1,10;2,20;3,30},1.9,FALSE)",2,"col_index_num truncates toward zero before validation."
W68-VLOOKUP-ERR-001,vlookup,"VLOOKUP(0.5,{1,10;2,20;3,30},2)",#N/A,"Approximate VLOOKUP below the first key returns #N/A."
W68-VLOOKUP-ERR-002,vlookup,"VLOOKUP(4,{1,10;2,20;3,30},2,FALSE)",#N/A,"Exact VLOOKUP miss returns #N/A."
W68-VLOOKUP-ERR-003,vlookup,"VLOOKUP(2,{1,10;2,20;3,30},3,FALSE)",#REF!,"col_index_num beyond the table width returns #REF!."
W68-VLOOKUP-ERR-004,vlookup,"VLOOKUP(2,{1,10;2,20;3,30},0,FALSE)",#VALUE!,"col_index_num below one returns #VALUE!."
W68-HLOOKUP-001,hlookup,"HLOOKUP(2,{1,2,3;10,20,30},2,FALSE)",20,"Exact numeric HLOOKUP baseline."
W68-HLOOKUP-002,hlookup,"HLOOKUP(2.9,{1,2,3;10,20,30},2)",20,"Approximate HLOOKUP defaults when range_lookup is omitted."
W68-HLOOKUP-003,hlookup,"HLOOKUP(""b*"",{""abc"",""bcd"";10,20},2,FALSE)",20,"Exact HLOOKUP supports the current-baseline wildcard lane."
W68-HLOOKUP-004,hlookup,"HLOOKUP(2,{1,2,3;10,20,30},1.9,FALSE)",2,"row_index_num truncates toward zero before validation."
W68-HLOOKUP-ERR-001,hlookup,"HLOOKUP(0.5,{1,2,3;10,20,30},2)",#N/A,"Approximate HLOOKUP below the first key returns #N/A."
W68-HLOOKUP-ERR-002,hlookup,"HLOOKUP(4,{1,2,3;10,20,30},2,FALSE)",#N/A,"Exact HLOOKUP miss returns #N/A."
W68-HLOOKUP-ERR-003,hlookup,"HLOOKUP(2,{1,2,3;10,20,30},3,FALSE)",#REF!,"row_index_num beyond the table height returns #REF!."
W68-HLOOKUP-ERR-004,hlookup,"HLOOKUP(2,{1,2,3;10,20,30},0,FALSE)",#VALUE!,"row_index_num below one returns #VALUE!."
