scenario_id,lane,formula,expected_text,notes
W60-COMPLEX-001,construction,"COMPLEX(3,4)",3+4i,"Baseline complex construction with default i suffix."
W60-COMPLEX-002,construction,"COMPLEX(3,4,""j"")",3+4j,"Explicit j suffix is preserved."
W60-COMPLEX-003,construction,"COMPLEX(1,2,""x"")",#VALUE!,"Invalid suffix rejects with #VALUE!."
W60-IMABS-001,extractor,"IMABS(""3+4i"")",5,"Absolute value of 3+4i."
W60-IMAGINARY-001,extractor,"IMAGINARY(""3+4i"")",4,"Imaginary coefficient extraction."
W60-IMARGUMENT-001,extractor,"ROUND(IMARGUMENT(""3+4i""),9)",0.927295218,"Argument published on the current baseline."
W60-IMARGUMENT-002,extractor,"IMARGUMENT(0)",#DIV/0!,"Zero complex argument rejects with #DIV/0!."
W60-IMREAL-001,extractor,"IMREAL(""3+4i"")",3,"Real coefficient extraction."
W60-IMCONJUGATE-001,arithmetic,"IMCONJUGATE(""3+4j"")",3-4j,"Conjugate preserves the input suffix."
W60-IMDIV-001,arithmetic,"IMDIV(""3+4i"",""1-2i"")",-1+2i,"Division baseline."
W60-IMSUB-001,arithmetic,"IMSUB(""3+4i"",""1-2i"")",2+6i,"Subtraction baseline."
W60-IMSUM-001,arithmetic,"IMSUM(""3+4i"",""1-2i"")",4+2i,"Sum baseline."
W60-IMSUM-002,arithmetic,"IMSUM(""i"",""j"")",#VALUE!,"Mixed suffix arithmetic rejects."
W60-IMPRODUCT-001,arithmetic,"IMPRODUCT(""3+4i"",""1-2i"")",11-2i,"Product baseline."
W60-IMPOWER-001,analytic,"IMPOWER(""3+4i"",2)",-7+24i,"Integer exponent baseline."
W60-IMPOWER-002,analytic,"IMPOWER(""3+4i"",0.5)",2+i,"Fractional exponent follows the principal branch."
W60-IMSQRT-001,analytic,"IMSQRT(""3+4i"")",2+i,"Square root baseline."
W60-IMEXP-RE-001,analytic,"ROUND(IMREAL(IMEXP(""3+4i"")),9)",-13.128783081,"Exponential real component."
W60-IMEXP-IM-001,analytic,"ROUND(IMAGINARY(IMEXP(""3+4i"")),9)",-15.200784463,"Exponential imaginary component."
