scenario_id,lane,formula,expected_text,notes
W39-CHOOSECOLS-01,choosecols_order_dup,"ARRAYTOTEXT(CHOOSECOLS({1,2,3;4,5,6},3,1),1)","{3,1;6,4}","Order-preserving column selection."
W39-CHOOSEROWS-01,chooserows_negative,"ARRAYTOTEXT(CHOOSEROWS({1,2,3;4,5,6;7,8,9},-1,1),1)","{7,8,9;1,2,3}","Negative and positive row selectors."
W39-DROP-01,drop_row_and_trailing_col,"ARRAYTOTEXT(DROP({1,2,3;4,5,6;7,8,9},1,-1),1)","{4,5;7,8}","Drop first row and trailing column."
W39-DROP-02,drop_omitted_rows_take_first_column_out,"ARRAYTOTEXT(DROP({1,2;3,4},,1),1)","{2;4}","Drop with omitted leading row-count retains all rows while dropping the first column."
W39-DROP-03,drop_omitted_rows_drop_last_column_out,"ARRAYTOTEXT(DROP({1,2;3,4},,-1),1)","{1;3}","Drop with omitted leading row-count retains all rows while dropping the last column."
W39-EXPAND-01,expand_with_fill,"ARRAYTOTEXT(EXPAND({1,2;3,4},3,4,""x""),1)","{1,2,""x"",""x"";3,4,""x"",""x"";""x"",""x"",""x"",""x""}","Explicit scalar fill."
W39-FILTER-01,filter_rows,"ARRAYTOTEXT(FILTER({1,10;2,20;3,30},{TRUE;FALSE;TRUE}),1)","{1,10;3,30}","Row-wise boolean mask."
W39-SORT-01,sort_rows,"ARRAYTOTEXT(SORT({3,""c"";1,""a"";2,""b""},1,1),1)","{1,""a"";2,""b"";3,""c""}","Ascending row sort by first column."
W39-SORT-02,sort_omitted_index_desc,"ARRAYTOTEXT(SORT({2;3;7;5},,-1),1)","{7;5;3;2}","Descending sort with omitted middle sort_index defaulting to the first column."
W39-SORTBY-01,sortby_key_array,"ARRAYTOTEXT(SORTBY({""alpha"";""beta"";""gamma""},{2;3;1}),1)","{""gamma"";""alpha"";""beta""}","Single aligned sort key."
W39-TAKE-01,take_head_tail,"ARRAYTOTEXT(TAKE({1,2,3;4,5,6;7,8,9},2,-2),1)","{2,3;5,6}","Take first two rows and trailing two columns."
W39-TAKE-02,take_omitted_rows_first_column,"ARRAYTOTEXT(TAKE({1,2;3,4},,1),1)","{1;3}","Take with omitted leading row-count retains all rows while taking the first column."
W39-TAKE-03,take_omitted_rows_last_column,"ARRAYTOTEXT(TAKE({1,2;3,4},,-1),1)","{2;4}","Take with omitted leading row-count retains all rows while taking the last column."
W39-TOCOL-01,tocol_row_major,"ARRAYTOTEXT(TOCOL({1,"""";3,#N/A},0),1)","{1;"""";3;#N/A}","Row-major flatten with no ignore mode."
W39-TOROW-01,torow_col_major,"ARRAYTOTEXT(TOROW({1,"""";3,#N/A},0,TRUE),1)","{1,3,"""",#N/A}","Column-major flatten with no ignore mode."
W39-TRANSPOSE-01,transpose_basic,"ARRAYTOTEXT(TRANSPOSE({1,2,3;4,5,6}),1)","{1,4;2,5;3,6}","Axis swap."
W39-UNIQUE-01,unique_rows,"ARRAYTOTEXT(UNIQUE({1,10;1,10;2,20}),1)","{1,10;2,20}","Row-wise distinct rows."
W39-VSTACK-01,vstack_na_pad,"ARRAYTOTEXT(VSTACK({1,2},{3;4}),1)","{1,2;3,#N/A;4,#N/A}","Vertical stack with #N/A padding."
W39-WRAPCOLS-01,wrapcols_basic,"ARRAYTOTEXT(WRAPCOLS({1,2,3,4,5},2),1)","{1,3,5;2,4,#N/A}","Row-major flatten then wrap to columns."
W39-WRAPROWS-01,wraprows_basic,"ARRAYTOTEXT(WRAPROWS({1,2,3,4,5},2),1)","{1,2;3,4;5,#N/A}","Row-major flatten then wrap to rows."
