"scenario_id","lane","status","scenario_kind","function_or_operator","formula_setup","value_setup","op_action","op_primary_cell","op_observe_cells","objective","coercion_axis","ref_resolution_axis","expected_status","expected_observable","notes"
"W10S3-001","W10-S3","ready","formula_case","NOW","A1:=NOW()","","calculate","A1","A1","Volatile time-provider baseline","time_provider","none","observed","primary_number_format_eq:yyyy/mm/dd hh:mm","Exact value is environment-dependent; the current reference baseline also auto-applies a date-time number format when the caller cell started as General."
"W10S3-002","W10-S3","ready","mixed_case","NOW","A1:=NOW()","","save_reopen_recalc","A1","A1","Volatility tick baseline","time_provider_recalc","none","observed","","Requires controlled recalc timing in empirical runner."
"W10S3-003","W10-S3","ready","formula_case","SEQUENCE","A1:=SEQUENCE(2,3)","","calculate_formula2","A1","A1|B1|C1|A2|B2|C2","Dynamic-array shape baseline","sequence_shape","none","observed","primary_value2_eq:1","Current seed model captures shape policy only."
"W10S3-004","W10-S3","ready","formula_case","SEQUENCE","A1:=SEQUENCE(0)","","calculate","A1","A1","Invalid dimension baseline","sequence_dimension_validation","none","observed","primary_text_eq:#CALC!","Observed Excel invalid-dimension lane."
"W10S3-005","W10-S3","ready","formula_case","SEQUENCE","A1:=SEQUENCE(3,""2"")","","calculate_formula2","A1","A1|B1|A2|B2|A3|B3","Numeric text coercion for dimensions","sequence_dimension_coercion","none","observed","primary_value2_eq:1","Coercion lane for dimension args."
"W10S3-006","W10-S3","ready","formula_case","SEQUENCE","A1:=SEQUENCE(,3)","","calculate_formula2","A1","A1|B1|C1","Explicitly omitted rows default to 1","sequence_missing_rows_default","none","observed","primary_value2_eq:1","Excel defaults rows to 1 when the first argument position is left blank."
"W10S3-007","W10-S3","ready","formula_case","SEQUENCE","A1:=SEQUENCE(2,,10)","","calculate_formula2","A1","A1|A2","Explicitly omitted columns default to 1","sequence_missing_cols_default","none","observed","primary_value2_eq:10","Excel defaults columns to 1 when the second argument position is left blank."
"W10S3-008","W10-S3","ready","formula_case","SEQUENCE","A1:=SEQUENCE(2,3,10,-2)","","calculate_formula2","A1","A1|B1|C1|A2|B2|C2","Start and negative step materialize full payload","sequence_payload_negative_step","none","observed","primary_value2_eq:10","Payload rows are observed directly in the spill range snapshots."
"W10S3-009","W10-S3","ready","formula_case","SEQUENCE","A1:=SEQUENCE(2,3,,2)","","calculate_formula2","A1","A1|B1|C1|A2|B2|C2","Explicitly omitted start defaults to 1","sequence_missing_start_default","none","observed","primary_value2_eq:1","Excel defaults start to 1 when the third argument position is left blank."
"W10S3-010","W10-S3","ready","formula_case","SEQUENCE","A1:=SEQUENCE(2,3,10,)","","calculate_formula2","A1","A1|B1|C1|A2|B2|C2","Explicitly omitted step defaults to 1","sequence_missing_step_default","none","observed","primary_value2_eq:10","Excel defaults step to 1 when the fourth argument position is left blank."
