scenario_id,lane,formula,expected_text,notes
W66-CODE-001,text_scalar,"CODE(""AB"")",65,"CODE reads the first UTF-16 code unit."
W66-CODE-ARR-001,text_scalar,"ARRAYTOTEXT(CODE({""A"",""B""}),1)","{65,66}","CODE spills over an array-valued text input on the current baseline."
W66-CONCAT-001,concat,"CONCATENATE(""a"",1,TRUE)",a1TRUE,"CONCATENATE textifies ordinary scalar args."
W66-CHAR-ARR-001,text_scalar,"ARRAYTOTEXT(CHAR(SEQUENCE(3)+64),1)","{""A"";""B"";""C""}","CHAR spills over an array-valued numeric input on the current baseline."
W66-FIND-001,find_replace_search,"FIND(""cd"",""abcdef"")",3,"FIND baseline."
W66-FIND-002,find_replace_search,"FIND("""",""abcdef"",4)",4,"Empty needle with in-range start returns the start position."
W66-FINDB-001,b_compat,"FINDB(""cd"",""abcdef"")",3,"FINDB delegates to FIND on the current Unicode baseline."
W66-LEFT-001,text_slice,"LEFT(""abcdef"",3)",abc,"LEFT baseline."
W66-LEFTB-001,b_compat,"LEFTB(""abcdef"",3)",abc,"LEFTB delegates to LEFT on the current Unicode baseline."
W66-LEN-001,text_slice,"LEN(UNICHAR(128512))",2,"LEN counts UTF-16 code units."
W66-LENB-001,b_compat,"LENB(UNICHAR(128512))",2,"LENB delegates to LEN on the current Unicode baseline."
W66-LOWER-001,text_scalar,"LOWER(TRUE)",true,"LOWER textifies logical TRUE."
W66-LOWER-ARR-001,text_scalar,"ARRAYTOTEXT(LOWER({""A"",""B""}),1)","{""a"",""b""}","LOWER spills over an array-valued text input on the current baseline."
W66-MID-001,text_slice,"MID(""abcdef"",2,3)",bcd,"MID baseline."
W66-MIDB-001,b_compat,"MIDB(""abcdef"",2,3)",bcd,"MIDB delegates to MID on the current Unicode baseline."
W66-PROPER-001,find_replace_search,"PROPER(""o'brien"")",O'Brien,"PROPER honors apostrophe word-boundary behavior on the current baseline."
W66-REPLACE-001,find_replace_search,"REPLACE(""abcdef"",2,3,""ZZ"")",aZZef,"REPLACE baseline."
W66-REPLACEB-001,b_compat,"REPLACEB(""abcdef"",2,3,""ZZ"")",aZZef,"REPLACEB delegates to REPLACE on the current Unicode baseline."
W66-REPT-001,text_scalar,"REPT(""ab"",2.9)",abab,"REPT truncates count toward zero."
W66-REPT-ARR-001,text_scalar,"ARRAYTOTEXT(REPT(""x"",SEQUENCE(3)),1)","{""x"";""xx"";""xxx""}","REPT spills over an array-valued count input on the current baseline."
W66-RIGHT-001,text_slice,"RIGHT(""abcdef"",2)",ef,"RIGHT baseline."
W66-RIGHTB-001,b_compat,"RIGHTB(""abcdef"",2)",ef,"RIGHTB delegates to RIGHT on the current Unicode baseline."
W66-SEARCH-001,find_replace_search,"SEARCH(""CD"",""abcdef"")",3,"SEARCH is case-insensitive on the current ASCII-seeded baseline."
W66-SEARCH-002,find_replace_search,"SEARCH(""a*c"",""abbbbbc"")",1,"SEARCH wildcard star behavior baseline."
W66-SEARCHB-001,b_compat,"SEARCHB(""CD"",""abcdef"")",3,"SEARCHB delegates to SEARCH on the current Unicode baseline."
W66-SUBSTITUTE-001,find_replace_search,"SUBSTITUTE(""foo bar foo"",""foo"",""x"",2)",foo bar x,"SUBSTITUTE instance_num baseline."
W66-TRIM-001,text_scalar,"TRIM("" A   B "")",A B,"TRIM collapses ASCII spaces."
W66-TRIM-002,text_scalar,"TRIM(CHAR(160)&""A""&CHAR(160))", A ,"TRIM preserves non-breaking spaces."
W66-TRIM-ARR-001,text_scalar,"ARRAYTOTEXT(TRIM({""  a  "","" b ""}),1)","{""a"",""b""}","TRIM spills over an array-valued text input on the current baseline."
W66-TEXTAFTER-ARR-001,text_scalar,"ARRAYTOTEXT(TEXTAFTER(""a-b-c"",""-"",SEQUENCE(3)),1)","{""b-c"";""c"";#N/A}","TEXTAFTER spills over an array-valued instance_num on the current baseline."
W66-TEXTBEFORE-ARR-001,text_scalar,"ARRAYTOTEXT(TEXTBEFORE(""a-b-c"",""-"",SEQUENCE(3)),1)","{""a"";""a-b"";#N/A}","TEXTBEFORE spills over an array-valued instance_num on the current baseline."
W66-UNICODE-001,text_unicode,"UNICODE(UNICHAR(128512))",128512,"UNICODE reads the first scalar from the surrogate pair."
W66-UNICODE-002,text_unicode,"UNICODE(UNICHAR(233))",233,"UNICODE returns the first scalar for precomposed text."
W66-UPPER-001,text_scalar,"UPPER(TRUE)",TRUE,"UPPER textifies logical TRUE."
W66-UPPER-ARR-001,text_scalar,"ARRAYTOTEXT(UPPER({""a"",""b""}),1)","{""A"",""B""}","UPPER spills over an array-valued text input on the current baseline."
W66-ERR-001,text_scalar,"CODE("""")",#VALUE!,"CODE rejects empty text."
W66-ERR-002,find_replace_search,"FIND(""zz"",""abcdef"")",#VALUE!,"FIND returns #VALUE! when the needle is absent."
W66-ERR-003,text_slice,"LEFT(""abc"",-1)",#VALUE!,"LEFT rejects negative counts."
W66-ERR-004,text_slice,"MID(""abc"",0,1)",#VALUE!,"MID rejects start_num below 1."
W66-ERR-005,find_replace_search,"REPLACE(""abc"",0,1,""x"")",#VALUE!,"REPLACE rejects start_num below 1."
W66-ERR-006,find_replace_search,"SEARCH("""",""abc"",4)",#VALUE!,"SEARCH rejects empty needle when the start position is past the end."
W66-ERR-007,find_replace_search,"SEARCH(""zz"",""abcdef"")",#VALUE!,"SEARCH returns #VALUE! when the pattern is absent."
W66-ERR-008,text_scalar,"REPT(""a"",32768)",#VALUE!,"REPT enforces the Excel text-length ceiling."
