"packet_id","recommended_successor_workset","packet_name","member_count","primary_substrate_or_risk","members"
"P0","W058","Grouped-row normalization and packet split finalization","7","Normalize grouped-name rows into machine-clean identities before semantic closure.","FIND, FINDB; LEFT, LEFTB; LEN, LENB; MID, MIDB; REPLACE, REPLACEB; RIGHT, RIGHTB; SEARCH, SEARCHB"
"P1","W059","Engineering conversions and Bessel family","16","Radix conversion semantics and special-function numeric substrate.","BESSELI; BESSELJ; BESSELK; BESSELY; BIN2DEC; BIN2HEX; BIN2OCT; DEC2BIN; DEC2HEX; DEC2OCT; HEX2BIN; HEX2DEC; HEX2OCT; OCT2BIN; OCT2DEC; OCT2HEX"
"P2","W060","Complex-number family","26","Shared complex-number parser/formatter and complex analytic functions.","COMPLEX; IMABS; IMAGINARY; IMARGUMENT; IMCONJUGATE; IMCOS; IMCOSH; IMCOT; IMCSC; IMCSCH; IMDIV; IMEXP; IMLN; IMLOG10; IMLOG2; IMPOWER; IMPRODUCT; IMREAL; IMSEC; IMSECH; IMSIN; IMSINH; IMSQRT; IMSUB; IMSUM; IMTAN"
"P3","W061","Statistical distributions and compat A","29","Modern/legacy pair closure for beta, binomial, chi-square, exponential, F, and gamma distributions.","BETA.DIST; BETA.INV; BETADIST; BETAINV; BINOM.DIST; BINOM.DIST.RANGE; BINOM.INV; BINOMDIST; CHIDIST; CHIINV; CHISQ.DIST; CHISQ.DIST.RT; CHISQ.INV; CHISQ.INV.RT; CONFIDENCE; CONFIDENCE.NORM; CRITBINOM; EXPON.DIST; EXPONDIST; F.DIST; F.DIST.RT; F.INV; F.INV.RT; FDIST; FINV; GAMMA.DIST; GAMMA.INV; GAMMADIST; GAMMAINV"
"P4","W062","Statistical distributions and compat B","35","Second statistical wave: normal, t, hypergeometric, lognormal, negative-binomial, percentile/rank, moments, and legacy aliases.","HYPGEOM.DIST; HYPGEOMDIST; LOGINV; LOGNORM.DIST; LOGNORM.INV; LOGNORMDIST; MODE; NEGBINOM.DIST; NEGBINOMDIST; NORM.DIST; NORM.INV; NORM.S.DIST; NORM.S.INV; NORMDIST; NORMINV; NORMSDIST; NORMSINV; PERCENTILE; PERCENTRANK; POISSON; POISSON.DIST; QUARTILE; SKEW; SKEW.P; STEYX; T.DIST; T.DIST.2T; T.DIST.RT; T.INV; T.INV.2T; TDIST; TINV; TRIMMEAN; COVAR; KURT"
"P5","W063","Date/time and business-day family","18","Date serial, business-day, and calendar-system semantics shared across ordinary date functions.","DAY; DAYS; EDATE; EOMONTH; HOUR; ISOWEEKNUM; MINUTE; MONTH; NETWORKDAYS; NETWORKDAYS.INTL; SECOND; TIME; WEEKDAY; WEEKNUM; WORKDAY; WORKDAY.INTL; YEAR; YEARFRAC"
"P6","W064","Financial core miscellaneous family","15","Ordinary finance residuals with day-count/date dependencies but no special host/provider seam.","CUMIPMT; CUMPRINC; DB; DDB; DISC; DOLLARFR; INTRATE; PRICEDISC; RECEIVED; SLN; SYD; TBILLEQ; TBILLPRICE; TBILLYIELD; VDB"
"P7","W065","Database family","12","Criteria-grid semantics and database-range evaluation over ordinary worksheet data.","DAVERAGE; DCOUNT; DCOUNTA; DGET; DMAX; DMIN; DPRODUCT; DSTDEV; DSTDEVP; DSUM; DVAR; DVARP"
"P8","W066","Text core and compatibility family","23","Ordinary text transforms plus legacy compatibility text surface, including the normalized members from the grouped text-compat snapshot rows.","CODE; CONCATENATE; FIND; FINDB; LEFT; LEFTB; LEN; LENB; LOWER; MID; MIDB; PROPER; REPLACE; REPLACEB; REPT; RIGHT; RIGHTB; SEARCH; SEARCHB; SUBSTITUTE; TRIM; UNICODE; UPPER"
"P9","W067","Math, matrix, and rounding family","15","Rounding-policy semantics and matrix/array algebra substrate.","CEILING.MATH; CEILING.PRECISE; FLOOR; FLOOR.MATH; FLOOR.PRECISE; ISO.CEILING; MDETERM; MINVERSE; MMULT; MUNIT; SERIESSUM; SUMPRODUCT; SUMX2MY2; SUMX2PY2; SUMXMY2"
"P10","W068","Lookup and logical residuals","3","Small high-visibility residuals that should close after array/reference/date/text substrates are stable.","HLOOKUP; IFS; VLOOKUP"
