scenario_id,lane,formula,expected_text,notes
W64-CUM-001,cumulative_finance,"ROUND(CUMIPMT(0.09/12,30*12,125000,13,24,0),5)",-11135.23213,"CUMIPMT Microsoft seed row for the second year of a 30-year loan."
W64-CUM-002,cumulative_finance,"ROUND(CUMPRINC(0.09/12,30*12,125000,13,24,0),7)",-934.1071234,"CUMPRINC Microsoft seed row for the second year of a 30-year loan."
W64-DEP-001,depreciation,"ROUND(DB(1000000,100000,6,1,7),9)",186083.333333333,"DB support-example baseline."
W64-DEP-002,depreciation,"DDB(2400,300,10,1)",480,"DDB seeded baseline."
W64-DEP-003,depreciation,"SLN(30000,7500,10)",2250,"Straight-line depreciation support example."
W64-DEP-004,depreciation,"ROUND(SYD(30000,7500,10,1),9)",4090.909090909,"Sum-of-years-digits support example."
W64-DEP-005,depreciation,"ROUND(VDB(2400,300,120,6,18),9)",396.306053265,"Variable declining-balance seeded interval baseline."
W64-DISC-001,discount_bill_yearfrac,"ROUND(DISC(DATE(2008,2,16),DATE(2008,3,1),99.7958333333333,100,2),9)",0.0525,"DISC round-trips the PRICEDISC support lane."
W64-DISC-002,discount_bill_yearfrac,"ROUND(INTRATE(DATE(2008,2,15),DATE(2008,5,15),1000000,1014420,2),5)",0.05768,"INTRATE Microsoft example."
W64-DISC-003,discount_bill_yearfrac,"ROUND(PRICEDISC(DATE(2008,2,16),DATE(2008,3,1),5.25%,100,2),9)",99.795833333,"PRICEDISC Microsoft example."
W64-DISC-004,discount_bill_yearfrac,"ROUND(RECEIVED(DATE(2008,2,15),DATE(2008,5,15),1000000,5.75%,2),6)",1014584.654407,"RECEIVED Microsoft example."
W64-TBILL-001,discount_bill_yearfrac,"ROUND(TBILLEQ(DATE(2008,3,31),DATE(2008,6,1),9.14%),9)",0.094151494,"TBILLEQ current-baseline Excel value2 output from the rounded 9.14% example input."
W64-TBILL-002,discount_bill_yearfrac,"ROUND(TBILLPRICE(DATE(2008,3,31),DATE(2008,6,1),9%),2)",98.45,"TBILLPRICE Microsoft example."
W64-TBILL-003,discount_bill_yearfrac,"ROUND(TBILLYIELD(DATE(2008,3,31),DATE(2008,6,1),98.45),9)",0.091416963,"TBILLYIELD current-baseline Excel value2 output from the 98.45 example input."
W64-DOLLARFR-001,dollar_fraction,"DOLLARFR(1.125,16)",1.02,"DOLLARFR seeded baseline."
W64-ERR-001,cumulative_finance,"CUMIPMT(0.09/12,30*12,125000,1,1,2)",#NUM!,"CUMIPMT rejects type outside 0 and 1."
W64-ERR-002,depreciation,"DB(1000,100,6,1,13)",#NUM!,"DB rejects month outside 1..12."
W64-ERR-003,discount_bill_yearfrac,"DISC(DATE(2008,2,16),DATE(2008,3,1),99.7958333333333,100,9)",#NUM!,"DISC rejects invalid basis."
W64-ERR-004,discount_bill_yearfrac,"TBILLPRICE(DATE(2024,1,1),DATE(2025,1,2),5%)",#NUM!,"TBILLPRICE rejects maturities beyond one calendar year."
W64-ERR-005,dollar_fraction,"DOLLARFR(1.125,0.9)",#DIV/0!,"DOLLARFR truncates denominator toward zero before validation."
W64-ERR-006,dollar_fraction,"DOLLARFR(,16)",#N/A,"DOLLARFR publishes #N/A for omitted arguments."
