"scenario_id","lane","status","scenario_kind","function_or_operator","formula_setup","value_setup","op_action","op_primary_cell","op_observe_cells","objective","coercion_axis","ref_resolution_axis","expected_status","expected_observable","notes"
"W12S3-001","W12-S3","ready","formula_case","TEXTJOIN","A1:=TEXTJOIN("","",TRUE,1,"""",2)","","calculate","A1","A1","TEXTJOIN delimiter + ignore-empty baseline","text_variadic","none","observed","primary_value2_eq:1,2","Scalar delimiter/value joining baseline."
"W12S3-004","W12-S3","ready","formula_case","TEXTJOIN","A1:=TEXTJOIN("","",FALSE,{1,2;3,4})","","calculate","A1","A1","TEXTJOIN array constant flattening is row-major","text_variadic","none","observed","primary_text_eq:1,2,3,4","Pins row-major flattening over a 2x2 array constant."
"W12S3-005","W12-S3","ready","formula_case","TEXTJOIN","A3:=TEXTJOIN("","",TRUE,A1:B2)","A1:=1|B1:=2|A2:=3|B2:=""""","calculate","A3","A3","TEXTJOIN range flattening respects ignore_empty","text_variadic","ref_required","observed","primary_text_eq:1,2,3","Pins row-major range flattening over dereferenced inputs."
"W12S3-006","W12-S3","ready","formula_case","TEXTJOIN","A1:=TEXTJOIN(1,FALSE,2,3)","","calculate","A1","A1","TEXTJOIN numeric delimiter is textified","text_variadic","none","observed","primary_text_eq:213","Pins numeric delimiter coercion."
"W12S3-007","W12-S3","ready","formula_case","TEXTJOIN","A1:=TEXTJOIN(TRUE,FALSE,1,2)","","calculate","A1","A1","TEXTJOIN logical delimiter is textified","text_variadic","none","observed","primary_text_eq:1TRUE2","Pins logical delimiter coercion."
"W12S3-008","W12-S3","ready","formula_case","TEXTJOIN","A1:=LEN(TEXTJOIN("""",FALSE,REPT(""x"",20000),REPT(""x"",12767)))","","calculate","A1","A1","TEXTJOIN exact 32767-character boundary succeeds","text_variadic","none","observed","primary_value2_eq:32767","Pins maximum cell-text-length success lane via LEN observability."
"W12S3-009","W12-S3","ready","formula_case","TEXTJOIN","A1:=TEXTJOIN("""",FALSE,REPT(""x"",20000),REPT(""x"",12768))","","calculate","A1","A1","TEXTJOIN overflow beyond 32767 returns calc error","text_variadic","none","observed","primary_text_eq:#CALC!","Observed Excel baseline returns #CALC! for the 32768-character overflow lane."
"W12S3-002","W12-S3","ready","formula_case","CLEAN","A1:=CLEAN(CHAR(9)&""AB"")","","calculate","A1","A1","CLEAN control-character stripping baseline","text_clean","none","observed","primary_value2_eq:AB","ASCII control removal seed."
"W12S3-003","W12-S3","ready","formula_case","EXACT","A1:=EXACT(""Abc"",""abc"")","","calculate","A1","A1","EXACT case-sensitive baseline","text_compare","none","observed","primary_value2_eq:False","Seed pins case-sensitive compare lane."
"W12S3-010","W12-S3","ready","formula_case","EXACT","A1:=EXACT(1,""1"")","","calculate","A1","A1","EXACT coerces numeric scalar to text","text_compare","none","observed","primary_value2_eq:True","Pins numeric-to-text coercion."
"W12S3-011","W12-S3","ready","formula_case","EXACT","A1:=EXACT(TRUE,""TRUE"")","","calculate","A1","A1","EXACT coerces logical scalar to text","text_compare","none","observed","primary_value2_eq:True","Pins logical-to-text coercion."
"W12S3-012","W12-S3","ready","formula_case","EXACT","A1:=EXACT("""",B1)","","calculate","A1","A1","EXACT treats blank cell as empty text","text_compare","ref_required","observed","primary_value2_eq:True","Pins blank-versus-empty behavior through a dereferenced blank cell."
"W12S3-013","W12-S3","ready","formula_case","EXACT","A1:=EXACT(UNICHAR(233),""e""&UNICHAR(769))","","calculate","A1","A1","EXACT distinguishes precomposed and combining text","text_compare","none","observed","primary_value2_eq:False","Pins code-unit-sensitive comparison rather than Unicode normalization."
"W12S3-014","W12-S3","ready","formula_case","EXACT","A1:=EXACT(UNICHAR(128512),UNICHAR(128512))","","calculate","A1","A1","EXACT matches identical surrogate-pair text","text_compare","none","observed","primary_value2_eq:True","Pins identical emoji/surrogate-pair equality."
"W12S3-015","W12-S3","ready","formula_case","CLEAN","A1:=LEN(CLEAN(CHAR(127)&""A""))","","calculate","A1","A1","CLEAN preserves CHAR(127)","text_clean","none","observed","primary_value2_eq:2","Pins CHAR(127) as preserved in this Excel baseline."
"W12S3-016","W12-S3","ready","formula_case","CLEAN","A1:=LEN(CLEAN(CHAR(129)&CHAR(141)&CHAR(143)&CHAR(144)&CHAR(157)&""A""))","","calculate","A1","A1","CLEAN removes observed extra C1 subset","text_clean","none","observed","primary_value2_eq:1","Pins the observed extra removal set 129/141/143/144/157."
"W12S3-017","W12-S3","ready","formula_case","CLEAN","A1:=LEN(CLEAN(UNICHAR(8203)&UNICHAR(160)&""A""))","","calculate","A1","A1","CLEAN preserves zero-width space and NBSP","text_clean","none","observed","primary_value2_eq:3","Pins non-removal of U+200B and U+00A0 in the current baseline."
