"entry_name","outcome","owner_workset","notes"
"COVAR","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"HYPGEOM.DIST","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"HYPGEOMDIST","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"KURT","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"LOGINV","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"LOGNORM.DIST","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"LOGNORM.INV","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"LOGNORMDIST","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"MODE","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"NEGBINOM.DIST","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"NEGBINOMDIST","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"NORM.DIST","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"NORM.INV","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"NORM.S.DIST","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"NORM.S.INV","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"NORMDIST","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"NORMINV","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"NORMSDIST","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"NORMSINV","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"PERCENTILE","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"PERCENTRANK","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"POISSON","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"POISSON.DIST","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"QUARTILE","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"SKEW","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"SKEW.P","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"STEYX","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"T.DIST","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"T.DIST.2T","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"T.DIST.RT","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"T.INV","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"T.INV.2T","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"TDIST","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"TINV","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
"TRIMMEAN","done","W062","Promoted out of the normalized ordinary backlog after W062 closure."
