scenario_id,lane,formula,expected_text,notes
W62-T-001,chi_f_t,"ROUND(T.DIST(1.5,10,TRUE),9)",0.917746337,"Modern cumulative T distribution baseline."
W62-T-002,chi_f_t,"ROUND(T.DIST.2T(1.5,10),9)",0.164507326,"Modern two-tail T distribution baseline."
W62-T-003,chi_f_t,"ROUND(T.DIST.RT(1.5,10),9)",0.082253663,"Modern right-tail T distribution baseline."
W62-T-004,chi_f_t,"ROUND(T.INV(0.9,10),9)",1.372183641,"Modern T inverse baseline."
W62-T-005,chi_f_t,"ROUND(T.INV.2T(0.1,10),9)",1.812461123,"Modern two-tail T inverse baseline."
W62-T-006,chi_f_t,"ROUND(TDIST(1.5,10,2),9)",0.164507326,"Legacy TDIST follows the two-tail T distribution lane."
W62-T-007,chi_f_t,"ROUND(TINV(0.1,10),9)",1.812461123,"Legacy TINV follows the two-tail T inverse lane."
W62-NORM-001,normal_log,"ROUND(NORM.DIST(42,40,1.5,TRUE),9)",0.90878878,"Modern normal cumulative baseline."
W62-NORM-002,normal_log,"ROUND(NORM.INV(0.9,40,1.5),9)",41.922327348,"Modern normal inverse baseline."
W62-NORM-003,normal_log,"ROUND(NORM.S.DIST(1.25,TRUE),9)",0.894350226,"Modern standard-normal cumulative baseline."
W62-NORM-004,normal_log,"ROUND(NORM.S.INV(0.9),9)",1.281551566,"Modern standard-normal inverse baseline."
W62-NORM-005,normal_log,"ROUND(NORMDIST(42,40,1.5,TRUE),9)",0.90878878,"Legacy NORMDIST follows the modern cumulative lane."
W62-NORM-006,normal_log,"ROUND(NORMINV(0.9,40,1.5),9)",41.922327348,"Legacy NORMINV follows the modern inverse lane."
W62-NORM-007,normal_log,"ROUND(NORMSDIST(1.25),9)",0.894350226,"Legacy NORMSDIST follows the modern standard-normal cumulative lane."
W62-NORM-008,normal_log,"ROUND(NORMSINV(0.9),9)",1.281551566,"Legacy NORMSINV follows the modern standard-normal inverse lane."
W62-LOG-001,normal_log,"ROUND(LOGNORM.DIST(4,1.2,0.4,TRUE),9)",0.679297725,"Modern lognormal cumulative baseline."
W62-LOG-002,normal_log,"ROUND(LOGNORM.INV(0.75,1.5,0.4),9)",5.869655243,"Modern lognormal inverse baseline."
W62-LOG-003,normal_log,"ROUND(LOGNORMDIST(4,1.2,0.4),9)",0.679297725,"Legacy LOGNORMDIST follows the cumulative lognormal lane."
W62-LOG-004,legacy_stats_alias,"ROUND(LOGINV(0.75,1.5,0.4),9)",5.869655243,"Legacy LOGINV follows the modern lognormal inverse lane."
W62-LEGACY-001,legacy_stats_alias,"ROUND(COVAR({2,4,8},{1,3,9}),9)",8.444444444,"Legacy COVAR follows the covariance population lane."
W62-LEGACY-002,legacy_stats_alias,"MODE({1,2,2,4,5})",2,"Legacy MODE follows the single-mode lane."
W62-LEGACY-003,legacy_stats_alias,"ROUND(PERCENTILE({1,2,2,4,5},0.3),9)",2,"Legacy PERCENTILE follows the inclusive percentile lane."
W62-LEGACY-004,legacy_stats_alias,"ROUND(PERCENTRANK({1,2,2,4,5},3.5),9)",0.687,"Legacy PERCENTRANK follows the inclusive percent-rank lane."
W62-LEGACY-005,legacy_stats_alias,"QUARTILE({1,2,2,4,5},4)",5,"Legacy QUARTILE follows the inclusive quartile lane."
W62-MOMENT-001,moment_stats,"ROUND(KURT({3,4,5,2,3,4,6,9}),9)",1.850519031,"Kurtosis seed row."
W62-MOMENT-002,moment_stats,"ROUND(SKEW({3,4,5,2,3,4,6,9}),9)",1.281155595,"Sample skew seed row."
W62-MOMENT-003,moment_stats,"ROUND(SKEW.P({3,4,5,2,3,4,6,9}),9)",1.027209706,"Population skew seed row."
W62-MOMENT-004,moment_stats,"ROUND(STEYX({2,4.1,5.9,8.2,9.8},{1,2,3,4,5}),9)",0.174164673,"Linear-regression standard error seed row."
W62-MOMENT-005,moment_stats,"ROUND(TRIMMEAN({1,2,3,4,5,6,7,8,9,100},0.2),9)",5.5,"Trimmed mean even-trim seed row."
W62-DISC-001,discrete_dist,"ROUND(POISSON(3,2.5,TRUE),9)",0.757576133,"Legacy POISSON cumulative baseline."
W62-DISC-002,discrete_dist,"ROUND(POISSON.DIST(3,2.5,FALSE),9)",0.213763017,"Modern Poisson point-probability baseline."
W62-DISC-003,discrete_dist,"ROUND(HYPGEOM.DIST(1,4,5,20,TRUE),9)",0.75128999,"Modern hypergeometric cumulative baseline."
W62-DISC-004,discrete_dist,"ROUND(HYPGEOMDIST(1,4,5,20),9)",0.469556244,"Legacy hypergeometric point-probability baseline."
W62-DISC-005,discrete_dist,"ROUND(NEGBINOM.DIST(5,3,0.4,TRUE),9)",0.68460544,"Modern negative-binomial cumulative baseline."
W62-DISC-006,discrete_dist,"ROUND(NEGBINOMDIST(5,3,0.4),9)",0.10450944,"Legacy negative-binomial point-probability baseline."
W62-ERR-001,normal_log,"NORM.S.INV(1)",#NUM!,"Standard-normal inverse rejects probability 1."
W62-ERR-002,normal_log,"LOGNORM.DIST(0,1.2,0.4,TRUE)",#NUM!,"Lognormal distribution rejects non-positive x."
W62-ERR-003,chi_f_t,"T.DIST.2T(-1,10)",#NUM!,"Two-tail T distribution rejects negative x."
W62-ERR-004,moment_stats,"TRIMMEAN({1,2},1.1)",#NUM!,"Trimmean rejects percent outside [0,1]."
W62-ERR-005,legacy_stats_alias,"MODE({1,2,3})",#N/A,"Mode publishes #N/A when no repeated value exists."
W62-ERR-006,discrete_dist,"POISSON.DIST(3,-1,FALSE)",#NUM!,"Poisson distribution rejects negative mean."
