scenario_id,lane,formula,expected_text,notes
W59-RADIX-001,engineering_radix,"DEC2BIN(9,4)",1001,"Positive decimal to binary with explicit places."
W59-RADIX-002,engineering_radix,"DEC2BIN(-100,2)",1110011100,"Negative decimal ignores places and returns ten-character signed form."
W59-RADIX-003,engineering_radix,"DEC2HEX(100,4)",0064,"Positive decimal to hex with zero padding."
W59-RADIX-004,engineering_radix,"DEC2HEX(-54,3)",FFFFFFFFCA,"Negative decimal to hex fixed-width signed form."
W59-RADIX-005,engineering_radix,"DEC2OCT(58,3)",072,"Positive decimal to octal with zero padding."
W59-RADIX-006,engineering_radix,"BIN2DEC(""1111111111"")",-1,"Ten-character binary source interpreted as signed."
W59-RADIX-007,engineering_radix,"BIN2HEX(""11111011"",4)",00FB,"Cross-radix positive conversion with padding."
W59-RADIX-008,engineering_radix,"BIN2HEX(""102"")",#NUM!,"Invalid binary digit rejects with #NUM!."
W59-RADIX-009,engineering_radix,"HEX2BIN(""F"",8)",00001111,"Positive hexadecimal to binary with padding."
W59-RADIX-010,engineering_radix,"HEX2DEC(""FFFFFFFF5B"")",-165,"Ten-character hexadecimal source interpreted as signed."
W59-RADIX-011,engineering_radix,"HEX2DEC(""A "")",#NUM!,"Trailing whitespace remains invalid."
W59-RADIX-012,engineering_radix,"HEX2OCT(""FFFFFFFF5B"",1)",7777777533,"Negative hexadecimal to octal ignores too-small places."
W59-RADIX-013,engineering_radix,"OCT2BIN(""3"",4)",0011,"Positive octal to binary with padding."
W59-RADIX-014,engineering_radix,"OCT2HEX(""100"",4)",0040,"Positive octal to hexadecimal with padding."
W59-RADIX-015,engineering_radix,"DEC2BIN(512)",#NUM!,"Binary target range overflow rejects."
W59-BESSEL-001,bessel,"ROUND(BESSELI(1.5,1),9)",0.981666428,"Seeded BESSELI baseline."
W59-BESSEL-002,bessel,"ROUND(BESSELJ(1.9,2),9)",0.329925829,"Seeded BESSELJ baseline."
W59-BESSEL-003,bessel,"ROUND(BESSELK(1.5,1),9)",0.277387804,"Seeded BESSELK baseline."
W59-BESSEL-004,bessel,"ROUND(BESSELY(2.5,1),9)",0.145918138,"Seeded BESSELY baseline."
W59-BESSEL-005,bessel,"ROUND(BESSELJ(1.9,2.9),9)",0.329925829,"Order argument truncates toward zero."
W59-BESSEL-006,bessel,"BESSELI(1,-1)",#NUM!,"Negative order rejects."
W59-BESSEL-007,bessel,"BESSELK(0,1)",#NUM!,"BESSELK rejects non-positive x."
W59-BESSEL-008,bessel,"BESSELY(-1,1)",#NUM!,"BESSELY rejects non-positive x."
W59-BESSEL-009,bessel,"ROUND(BESSELI(-1.5,1),9)",-0.981666428,"Odd-order sign parity on signed x."
