"entry_name","outcome","owner_workset","notes"
"CODE","done","W066","Promoted out of the normalized ordinary backlog after W066 closure."
"CONCATENATE","done","W066","Promoted out of the normalized ordinary backlog after W066 closure."
"FIND","done","W066","Promoted out of the normalized ordinary backlog after W066 closure."
"FINDB","done","W066","Promoted out of the normalized ordinary backlog after W066 closure."
"LEFT","done","W066","Promoted out of the normalized ordinary backlog after W066 closure."
"LEFTB","done","W066","Promoted out of the normalized ordinary backlog after W066 closure."
"LEN","done","W066","Promoted out of the normalized ordinary backlog after W066 closure."
"LENB","done","W066","Promoted out of the normalized ordinary backlog after W066 closure."
"LOWER","done","W066","Promoted out of the normalized ordinary backlog after W066 closure."
"MID","done","W066","Promoted out of the normalized ordinary backlog after W066 closure."
"MIDB","done","W066","Promoted out of the normalized ordinary backlog after W066 closure."
"PROPER","done","W066","Promoted out of the normalized ordinary backlog after W066 closure."
"REPLACE","done","W066","Promoted out of the normalized ordinary backlog after W066 closure."
"REPLACEB","done","W066","Promoted out of the normalized ordinary backlog after W066 closure."
"REPT","done","W066","Promoted out of the normalized ordinary backlog after W066 closure."
"RIGHT","done","W066","Promoted out of the normalized ordinary backlog after W066 closure."
"RIGHTB","done","W066","Promoted out of the normalized ordinary backlog after W066 closure."
"SEARCH","done","W066","Promoted out of the normalized ordinary backlog after W066 closure."
"SEARCHB","done","W066","Promoted out of the normalized ordinary backlog after W066 closure."
"SUBSTITUTE","done","W066","Promoted out of the normalized ordinary backlog after W066 closure."
"TRIM","done","W066","Promoted out of the normalized ordinary backlog after W066 closure."
"UNICODE","done","W066","Promoted out of the normalized ordinary backlog after W066 closure."
"UPPER","done","W066","Promoted out of the normalized ordinary backlog after W066 closure."
