"entry_name","outcome","owner_workset","notes"
"COMPLEX","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMABS","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMAGINARY","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMARGUMENT","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMCONJUGATE","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMCOS","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMCOSH","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMCOT","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMCSC","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMCSCH","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMDIV","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMEXP","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMLN","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMLOG10","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMLOG2","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMPOWER","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMPRODUCT","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMREAL","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMSEC","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMSECH","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMSIN","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMSINH","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMSQRT","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMSUB","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMSUM","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
"IMTAN","done","W060","Promoted out of the normalized ordinary backlog after W060 closure."
