"scenario_id","lane","status","scenario_kind","function_or_operator","formula_setup","value_setup","op_action","op_primary_cell","op_observe_cells","objective","coercion_axis","ref_resolution_axis","expected_status","expected_observable","notes"
"W10S4-001","W10-S4","ready","formula_case","INDIRECT","A1:=INDIRECT(""B1"")|B1:=7","","calculate","A1","A1|B1","A1-style indirect dereference baseline","indirect_a1_text","eval_time_deref","observed","primary_value2_eq:7","Caller/context-sensitive lane baseline."
"W10S4-002","W10-S4","ready","formula_case","INDIRECT","A1:=INDIRECT(""R1C2"",FALSE)|B1:=7","","calculate","A1","A1|B1","R1C1-style dereference lane","indirect_r1c1_mode","eval_time_deref","observed","primary_value2_eq:7","Observed Excel R1C1 reference-mode lane."
"W10S4-003","W10-S4","ready","formula_case","XLOOKUP","A1:=XLOOKUP(2,{1,2,3},{10,20,30})","","calculate","A1","A1","Exact forward lookup baseline","xlookup_exact_forward","none","observed","primary_value2_eq:20","Seed exact lane baseline."
"W10S4-004","W10-S4","ready","formula_case","XLOOKUP","A1:=XLOOKUP(9,{1,2,3},{10,20,30},""nf"")","","calculate","A1","A1","if_not_found fallback baseline","xlookup_if_not_found","none","observed","primary_text_eq:nf","Fallback lane baseline."
"W10S4-005","W10-S4","ready","mixed_case","XLOOKUP","A1:=XLOOKUP(2,{1,2,2},B1:D1,,0,-1)|B1:=10|C1:=20|D1:=30","","calculate","A1","A1|B1|C1|D1","Reverse search and return-array alignment lane","xlookup_reverse_return_alignment","eval_time_deref","observed","primary_value2_eq:30","Reference-return policy and provenance are explicit W10 follow-ups."
"W10S4-006","W10-S4","ready","mixed_case","XLOOKUP","A1:=CELL(""address"",XLOOKUP(2,{1,2,3},B1:D1))|B1:=10|C1:=20|D1:=30","","calculate","A1","A1|B1|C1|D1","Horizontal reference-return address lane","xlookup_ref_return_address_horizontal","eval_time_deref","observed","primary_text_eq:$C$1","Confirms returned reference identity for horizontal return-array lane."
"W10S4-007","W10-S4","ready","mixed_case","XLOOKUP","A1:=SUM(XLOOKUP(2,{1,2,3},B1:D1):XLOOKUP(3,{1,2,3},B1:D1))|B1:=10|C1:=20|D1:=30","","calculate","A1","A1|B1|C1|D1","Horizontal reference-return range composition lane","xlookup_ref_return_range_horizontal","eval_time_deref","observed","primary_value2_eq:50","Confirms returned references compose into range operator as expected."
"W10S4-008","W10-S4","ready","mixed_case","XLOOKUP","A1:=CELL(""address"",XLOOKUP(2,{1;2;3},B1:B3))|B1:=10|B2:=20|B3:=30","","calculate","A1","A1|B1|B2|B3","Vertical reference-return address lane","xlookup_ref_return_address_vertical","eval_time_deref","observed","primary_text_eq:$B$2","Vertical shape-aligned reference-return baseline."
"W10S4-009","W10-S4","ready","mixed_case","XLOOKUP","A1:=SUM(XLOOKUP(2,{1;2;3},B1:B3):XLOOKUP(3,{1;2;3},B1:B3))|B1:=10|B2:=20|B3:=30","","calculate","A1","A1|B1|B2|B3","Vertical reference-return range composition lane","xlookup_ref_return_range_vertical","eval_time_deref","observed","primary_value2_eq:50","Vertical reference-return range composition baseline."
"W10S4-010","W10-S4","ready","formula_case","XLOOKUP","A1:=XLOOKUP(2,{1,2,3},{10,20,30},""nf"",0)","","calculate","A1","A1","Optional if_not_found plus explicit match_mode lane","xlookup_if_not_found_explicit_match_mode","none","observed","primary_value2_eq:20","Ensures optional middle-arg omission/default handling is stable."
"W10S4-011","W10-S4","ready","formula_case","XLOOKUP","A1:=XLOOKUP(""a~*"",{""abc"",""a*""},{10,20},""nf"",2)","","calculate","A1","A1","Wildcard escape lane","xlookup_wildcard_escape","none","observed","primary_value2_eq:20","Escaped wildcard pattern should return the literal-star match."
"W10S4-012","W10-S4","ready","formula_case","XLOOKUP","A1:=XLOOKUP(2,{3,1,4,2},{30,10,40,20},,0,2)","","calculate","A1","A1","Binary exact unsorted empirical lane","xlookup_binary_unsorted_exact","none","observed","primary_text_eq:#N/A","Built-in XLOOKUP mirrors XMATCH binary unsorted invalid-result behavior here."
