"entry_name","outcome","owner_workset","notes"
"DAY","done","W063","Promoted out of the normalized ordinary backlog after W063 closure."
"DAYS","done","W063","Promoted out of the normalized ordinary backlog after W063 closure."
"EDATE","done","W063","Promoted out of the normalized ordinary backlog after W063 closure."
"EOMONTH","done","W063","Promoted out of the normalized ordinary backlog after W063 closure."
"HOUR","done","W063","Promoted out of the normalized ordinary backlog after W063 closure."
"ISOWEEKNUM","done","W063","Promoted out of the normalized ordinary backlog after W063 closure."
"MINUTE","done","W063","Promoted out of the normalized ordinary backlog after W063 closure."
"MONTH","done","W063","Promoted out of the normalized ordinary backlog after W063 closure."
"NETWORKDAYS","done","W063","Promoted out of the normalized ordinary backlog after W063 closure."
"NETWORKDAYS.INTL","done","W063","Promoted out of the normalized ordinary backlog after W063 closure."
"SECOND","done","W063","Promoted out of the normalized ordinary backlog after W063 closure."
"TIME","done","W063","Promoted out of the normalized ordinary backlog after W063 closure."
"WEEKDAY","done","W063","Promoted out of the normalized ordinary backlog after W063 closure."
"WEEKNUM","done","W063","Promoted out of the normalized ordinary backlog after W063 closure."
"WORKDAY","done","W063","Promoted out of the normalized ordinary backlog after W063 closure."
"WORKDAY.INTL","done","W063","Promoted out of the normalized ordinary backlog after W063 closure."
"YEAR","done","W063","Promoted out of the normalized ordinary backlog after W063 closure."
"YEARFRAC","done","W063","Promoted out of the normalized ordinary backlog after W063 closure."
