scenario_id,lane,formula,expected_text,notes
W40-ADDRESS-01,address_default,"ADDRESS(3,2)","$B$3","Default absolute A1 address."
W40-ADDRESS-02,address_r1c1_with_sheet,"ADDRESS(3,2,4,FALSE,""Alpha"")","Alpha!R[3]C[2]","Relative R1C1 address with explicit sheet text."
W40-ADDRESS-03,address_quote_sheet_text,"ADDRESS(3,2,1,TRUE,""Quarter 1"")","'Quarter 1'!$B$3","Sheet names with spaces are single-quoted."
W40-AREAS-01,areas_union,"AREAS((A1,B2:B3))","2","Union reference exposes two areas."
W40-AREAS-02,areas_single,"AREAS(A1:B2)","1","Single-area rectangle counts as one area."
W40-FORMULATEXT-01,formulatext_formula_cell,"FORMULATEXT(A1)","=1+2","Stored formula text is returned verbatim for the seeded cell."
W40-FORMULATEXT-02,formulatext_plain_value,"FORMULATEXT(B1)","#N/A","Plain-value cells yield #N/A."
W40-SHEET-01,sheet_omitted_current,"SHEET()","3","Omitted SHEET returns the current sheet number on Alpha in the seeded workbook."
W40-SHEET-02,sheet_by_reference,"SHEET(Beta!A1)","2","Reference-based sheet number lookup."
W40-SHEET-03,sheet_by_text_missing,"SHEET(""Nope"")","#N/A","Missing sheet-name text yields #N/A."
W40-SHEETS-01,sheets_omitted_workbook,"SHEETS()","3","Omitted SHEETS returns workbook sheet count."
W40-SHEETS-02,sheets_single_sheet_ref,"SHEETS(Beta!A1)","1","Single-sheet reference counts one sheet."
W40-SHEETS-03,sheets_3d_span,"SHEETS('Quarter 1':Alpha!A1)","3","3D reference span counts the sheets in the span."
